FAILURE_TYPE,NAME,DATE,POTENTIAL_PRICE,POTENTIAL_DATA,STATUS
Low,MI8X5UK0MW,2023-12-04,4234,2025-02-12,UNREPAIRABLE
High,A9S1E80EN4,2024-04-21,4234,2024-07-25,NEW
Low,WTZ4SSE70C,2023-11-01,7234,2024-11-07,NEW
Critical,3DBBWW10XM,2024-01-27,8053,2025-03-24,FINISHED
High,FYD0TT02YG,2024-03-19,735,2024-07-23,IN_PROGRESS
Mild,JNRHW59D47,2023-11-12,4971,2024-08-26,NEW
High,4FD26WROK0,2023-11-01,3397,2024-07-06,UNREPAIRABLE
Low,E46WQB7NIN,2024-03-17,5585,2024-12-19,FINISHED
Mild,YDR2AA4JF1,2023-12-04,9033,2024-06-24,UNREPAIRABLE
Low,FJT02HRFOC,2024-04-12,3023,2025-01-14,UNREPAIRABLE
Mild,FA8NQR1PTX,2024-02-21,6031,2024-10-27,FINISHED
Low,UOK9CA46FZ,2024-02-02,8122,2025-01-08,FINISHED
Low,4QB3K195B1,2024-01-11,2485,2025-03-12,IN_PROGRESS
High,GO1X1LE85P,2024-02-16,970,2025-01-28,IN_PROGRESS
Mild,KQ1BGDUFU0,2023-11-28,8449,2024-08-17,UNREPAIRABLE
High,ZTWB1IGLZI,2024-04-19,2774,2024-10-16,IN_PROGRESS
Mild,XAZL9N10AJ,2023-11-23,3422,2024-07-21,IN_PROGRESS
Mild,6AUCF2FZN2,2024-01-31,9503,2025-04-01,IN_PROGRESS
Mild,FS7MUWYSBC,2024-04-10,1128,2024-07-30,NEW
Low,WELRGS80GN,2023-10-15,6814,2024-07-27,UNREPAIRABLE
Critical,3W41ZBF89G,2023-11-02,8919,2024-11-18,FINISHED
High,7JJ0MM8YKJ,2023-10-25,8410,2024-05-18,IN_PROGRESS
High,IOGVUFPWDW,2024-03-17,8054,2025-01-29,NEW
Critical,M9O3NHX464,2023-12-06,711,2024-07-08,UNREPAIRABLE
High,TJ57BSIHHM,2023-11-05,5708,2024-07-27,UNREPAIRABLE
Critical,1AS453XITU,2024-02-10,2219,2024-10-17,FINISHED
Critical,6M9L156PTU,2023-11-06,6605,2024-05-04,UNREPAIRABLE
Low,GJVQ3Q7BUD,2024-04-15,5409,2024-08-31,UNREPAIRABLE
Mild,GBR4MICF71,2024-04-18,3102,2025-01-30,IN_PROGRESS
Critical,ZQCEHVMNQR,2023-10-27,6183,2024-06-11,UNREPAIRABLE
High,9B62F5JH1I,2023-11-04,6930,2025-01-05,UNREPAIRABLE
Critical,0PXHSWQD3H,2024-02-02,7509,2024-08-18,UNREPAIRABLE
Low,16WKRXV1QB,2024-04-03,1339,2024-11-05,NEW
Mild,GNL1DEN9LS,2024-04-27,6211,2025-02-25,UNREPAIRABLE
High,FAYKJUFKLM,2023-12-26,3449,2024-11-16,IN_PROGRESS
Critical,QFGWNFBDAZ,2023-10-30,975,2024-08-12,FINISHED
High,8GXGHKNLRM,2023-12-19,706,2024-07-26,UNREPAIRABLE
Mild,JE6SIIQWAX,2024-03-14,4050,2024-12-28,NEW
Mild,QG77WQ2ZVW,2024-01-09,8744,2024-06-09,UNREPAIRABLE
High,A6FON439NV,2024-01-23,9715,2024-11-26,NEW
High,PL9RX379TP,2023-11-17,7531,2024-07-03,UNREPAIRABLE
Critical,PWVZIAI2F7,2023-11-14,2698,2024-05-05,NEW
Low,6FN9Q9XN1C,2024-04-13,13,2025-01-20,IN_PROGRESS
Mild,QLZMW7K0G6,2023-12-24,8021,2024-09-14,NEW
High,3C3ASN0QIX,2023-10-21,5427,2024-10-03,IN_PROGRESS
Low,G3X4QD7RBP,2023-12-04,8600,2025-03-24,FINISHED
Mild,VDN7X95278,2023-10-27,8354,2025-04-20,IN_PROGRESS
Mild,YH4H67DXHO,2023-10-17,4583,2024-10-12,UNREPAIRABLE
Low,2E8Y8JEMFP,2023-12-21,6432,2024-12-24,NEW
High,96IW8KB34E,2024-04-17,2645,2024-11-10,UNREPAIRABLE
Critical,WCB3ZVG9HY,2024-04-03,560,2024-06-04,UNREPAIRABLE
Mild,WFSAK7H3EK,2024-01-09,1184,2024-09-01,NEW
Low,NQAVEM1DNK,2024-03-18,7775,2024-05-02,IN_PROGRESS
Mild,ISWUAOJYWF,2023-10-29,4455,2025-02-11,UNREPAIRABLE
Low,U9F5RLI48G,2023-10-11,1403,2024-12-29,IN_PROGRESS
Low,W08YRD1OQ3,2024-01-10,1160,2024-09-21,IN_PROGRESS
High,M1YQQ2PN02,2023-12-07,9905,2024-11-03,IN_PROGRESS
Critical,RYVT1T8QOT,2023-10-15,5468,2024-08-15,FINISHED
Mild,9FOHFIZ672,2023-12-29,8896,2024-06-08,NEW
High,3N92FV4J7U,2023-11-15,2213,2025-01-22,UNREPAIRABLE
Critical,7T3LSZ3WYY,2024-01-17,9744,2025-03-20,IN_PROGRESS
Low,QR6OMEA6MH,2024-03-15,5449,2025-01-31,NEW
Mild,NDGKZPU5LT,2024-03-21,6148,2024-05-12,FINISHED
High,IHBN96EHAV,2023-11-10,2474,2025-03-11,IN_PROGRESS
Critical,3ABLGZYVL3,2023-10-14,5800,2024-09-18,NEW
Low,IELB80NVZ0,2024-01-23,2756,2024-05-04,NEW
Critical,UOB537CCJ8,2024-04-07,539,2025-01-26,FINISHED
Low,KKSD2PEGHG,2024-02-27,6385,2024-12-30,UNREPAIRABLE
Critical,BEL44EXETH,2023-12-22,1995,2025-02-17,NEW
Mild,17EKBSLQON,2024-02-04,8473,2025-03-01,NEW
Critical,CVZGYIVKYU,2023-11-24,3328,2024-05-03,UNREPAIRABLE
Critical,EF7DB2E37S,2023-10-24,1755,2024-05-04,UNREPAIRABLE
Mild,47G6TZ28I7,2023-11-22,4600,2024-06-08,NEW
Critical,M8W6L9OJBQ,2023-10-21,9119,2024-10-09,UNREPAIRABLE
Mild,YL3TGTLUAI,2024-03-13,6799,2025-01-06,IN_PROGRESS
Critical,9Q4QEJTNDM,2024-01-28,4885,2024-08-09,UNREPAIRABLE
Low,IXOZDRTT49,2023-11-19,1462,2025-02-26,UNREPAIRABLE
Mild,GTHC9G777D,2023-10-12,7843,2024-07-18,UNREPAIRABLE
Low,H9JFFFWI7R,2023-11-26,6676,2024-07-21,UNREPAIRABLE
High,J5WRIPEVMK,2023-11-29,4185,2024-12-06,FINISHED
High,OELUJHRMFI,2023-12-01,6201,2025-04-06,NEW
Low,K6M0UJPMJV,2024-01-31,6210,2024-11-20,IN_PROGRESS
High,N8I3JDSDYG,2023-11-24,4573,2025-02-11,UNREPAIRABLE
Critical,9C3G3CZAVO,2024-04-06,7150,2024-09-09,UNREPAIRABLE
Critical,82N39M9W5B,2024-02-28,739,2024-08-25,FINISHED
Low,99EETNZJ8S,2024-04-27,7847,2025-03-05,FINISHED
Low,H683S3C1LN,2024-01-29,9770,2025-02-16,NEW
Critical,OH7OCBNUO0,2023-11-05,4623,2025-02-08,UNREPAIRABLE
Critical,O83IZ4HVLC,2024-02-27,2872,2024-09-12,NEW
Critical,1R3PSQ1PZT,2024-01-09,2974,2024-08-04,UNREPAIRABLE
Critical,KGW8CE3XLL,2023-11-27,5992,2024-08-01,FINISHED
High,7XJJCDTYW8,2023-11-25,9160,2024-09-10,UNREPAIRABLE
Critical,343H06DPB9,2024-02-24,2751,2024-07-29,NEW
High,22L6KAL5RI,2024-01-06,8427,2024-10-12,NEW
Critical,ZJVZIR2MUZ,2023-11-19,1479,2024-08-21,NEW
High,C2YMU4R0IN,2024-01-24,309,2024-11-03,IN_PROGRESS
High,H01R8WERJS,2023-12-18,8782,2024-09-05,UNREPAIRABLE
Critical,GA8T1B3BMW,2023-10-28,4971,2025-04-27,UNREPAIRABLE
Critical,BY7O62TX13,2023-12-17,4017,2024-08-15,IN_PROGRESS
Mild,BUMS6JPYJJ,2024-01-06,7671,2025-03-23,NEW
Mild,VS960LY7FR,2024-04-14,6004,2024-11-21,FINISHED
Mild,WE2X7XU2B0,2024-03-28,272,2025-01-31,NEW
Mild,ILVRNPRKPN,2023-12-28,3083,2024-12-23,NEW
Mild,DQ1T3PBDHN,2023-11-11,4486,2024-12-04,NEW
High,QYR8KPX475,2023-11-29,8468,2025-04-23,UNREPAIRABLE
Critical,QPJPHV4URO,2024-02-25,2857,2025-04-12,FINISHED
Low,Y9M8JI4SAS,2024-04-24,18,2024-12-17,FINISHED
Low,C1ZROA6R6K,2024-01-12,6293,2025-01-16,FINISHED
High,4UAXH8IN5V,2024-01-16,5749,2025-02-16,NEW
Critical,FXTHUL1MFU,2023-10-31,4487,2025-03-18,FINISHED
High,SGGCMQG4XD,2023-11-10,5351,2025-03-04,NEW
High,3T0GDLJWFU,2024-04-10,9551,2024-07-10,UNREPAIRABLE
Mild,V71VIFVRTF,2023-10-29,3024,2024-11-28,IN_PROGRESS
Mild,4GY5XTOB9U,2023-12-16,6976,2025-02-04,FINISHED
High,ZNWYWML5JU,2024-01-16,720,2025-03-17,FINISHED
Low,B6TY4R2PPR,2023-12-20,1498,2024-08-01,IN_PROGRESS
Low,QGGOVSD5V4,2024-01-30,3596,2024-10-18,UNREPAIRABLE
Critical,O155ESSIUB,2024-02-24,4802,2025-03-08,IN_PROGRESS
Critical,VKB2YP7JZH,2024-03-22,3389,2024-11-08,NEW
Mild,HLGBZ4HIA6,2024-04-08,1182,2024-07-11,IN_PROGRESS
High,HCBZEO5177,2024-02-02,2421,2025-02-25,NEW
Mild,5KZP7B48D7,2023-10-11,944,2025-01-19,IN_PROGRESS
Mild,CNP7BD610S,2023-10-26,1271,2025-02-22,IN_PROGRESS
Mild,BAUIXKW9WN,2024-03-16,3876,2025-04-09,NEW
High,OV9IXT04IR,2023-11-29,3569,2024-08-28,IN_PROGRESS
Critical,QP3RV4BF65,2023-10-14,2666,2024-07-19,IN_PROGRESS
Mild,RN42PPCEN9,2024-03-20,874,2024-11-14,FINISHED
Mild,K12ZLBJQBN,2024-01-03,4111,2024-06-04,FINISHED
High,5BN2140IGW,2023-12-16,6505,2024-12-30,IN_PROGRESS
Mild,YHWY4MIOMR,2024-04-03,2534,2024-06-28,FINISHED
High,O4QBZLOC1V,2024-03-23,4071,2024-12-20,IN_PROGRESS
Critical,MTOL6RHKLN,2024-01-17,9363,2025-01-25,UNREPAIRABLE
Mild,FQI01DUNVG,2023-12-03,7594,2025-03-31,NEW
Mild,JVWYHLHKOW,2023-11-17,2483,2024-05-06,NEW
Critical,53KFCYKCWW,2024-04-08,3811,2024-05-12,NEW
Low,WFOB252YYO,2023-11-29,8296,2024-07-24,NEW
High,YMW9SB08PT,2023-11-26,7513,2025-04-12,FINISHED
Critical,8QVEJL2PFD,2024-02-08,9861,2024-10-26,FINISHED
Critical,NVI8CAYZ81,2023-12-31,102,2024-09-12,UNREPAIRABLE
Mild,HLM35OC9JM,2023-11-01,8250,2024-07-15,IN_PROGRESS
High,R4P92BUVXY,2023-12-22,1347,2025-04-05,FINISHED
Mild,KZSYP40MVD,2023-11-15,7820,2024-05-31,NEW
High,83ZEHKVA0N,2024-02-19,478,2025-02-04,IN_PROGRESS
High,YBQS0KC60T,2024-01-03,2808,2024-11-25,FINISHED
High,G8JNU77K5C,2024-04-18,7438,2025-02-11,IN_PROGRESS
Mild,6I2EYXWR12,2024-01-28,9755,2025-02-27,UNREPAIRABLE
Low,AV2GBHXPFW,2024-02-09,5189,2024-10-24,NEW
High,GB4V1UAOX2,2024-02-06,3146,2025-04-19,NEW
Critical,W51N15HJYS,2024-04-23,7910,2024-08-03,UNREPAIRABLE
High,7P5SQTQ09J,2024-01-08,3711,2024-05-25,IN_PROGRESS
Low,EOJ1CXWBT1,2024-02-27,5682,2024-08-15,NEW
Critical,CKB2IZBO4H,2024-01-23,6333,2025-01-19,IN_PROGRESS
Critical,8DPH8GB8SP,2023-10-25,5831,2025-02-25,FINISHED
Mild,759J8XTVOK,2024-02-28,8071,2024-07-14,UNREPAIRABLE
Mild,1VOJPVEF9H,2024-01-01,3535,2024-06-22,IN_PROGRESS
Critical,5CRD8JUV41,2024-02-09,6128,2025-02-27,UNREPAIRABLE
Critical,19A0NR2GG2,2024-02-09,3196,2024-12-13,UNREPAIRABLE
Critical,MFLECQOCH9,2024-01-28,9325,2024-06-13,FINISHED
Mild,R59P2YFU5Y,2023-11-03,9611,2024-12-21,FINISHED
Mild,O6YWMNPHFB,2023-12-19,4929,2024-09-21,NEW
Low,82UH407BEG,2024-01-18,3773,2024-12-22,NEW
Critical,VF9ZQSF4ZP,2023-12-20,1763,2024-12-24,FINISHED
High,3NY18YUY4N,2023-11-12,7914,2025-03-21,UNREPAIRABLE
Critical,SDDKV1ZZYW,2023-12-30,8004,2025-03-06,UNREPAIRABLE
Critical,65V7VMNQ98,2023-11-07,2820,2024-06-17,NEW
Critical,JR69R3QZUG,2023-10-14,3587,2024-09-18,FINISHED
Low,FCU51A7UH5,2023-11-05,1060,2024-06-26,NEW
Mild,EFFTJPW5U6,2023-11-07,3003,2025-02-05,UNREPAIRABLE
Low,SOM7J2K2SD,2024-02-27,3935,2024-08-03,UNREPAIRABLE
Mild,9NZH8YUZ3L,2023-11-11,6168,2024-09-01,NEW
Mild,GALFB8AGLR,2023-12-07,759,2024-11-30,FINISHED
Mild,A3LSX8SED5,2024-01-01,7438,2025-02-05,NEW
Mild,O8UUW197LW,2024-01-21,8294,2024-06-08,IN_PROGRESS
High,6UFDURWKYR,2023-11-19,7295,2024-12-20,FINISHED
Low,6A62VY7JBJ,2024-03-30,1213,2024-12-26,IN_PROGRESS
Critical,KB18XDWCZL,2024-02-08,2647,2024-07-08,UNREPAIRABLE
Mild,S67YZY65OD,2023-12-15,2817,2025-03-29,UNREPAIRABLE
Low,RZKEA1BS5I,2024-01-02,1333,2024-08-05,NEW
Mild,QK4TKJR1RZ,2023-11-14,5628,2024-05-05,UNREPAIRABLE
Low,F190IWNZTU,2024-01-22,9181,2025-01-28,UNREPAIRABLE
Critical,R0GOBTAOIB,2023-10-29,4191,2024-09-23,IN_PROGRESS
High,HOCJ3DNDRH,2024-04-14,7602,2024-06-21,NEW
High,JV56FFUVV1,2023-11-22,745,2025-04-24,NEW
Mild,J7D7KGSE9V,2023-10-17,8627,2024-12-09,UNREPAIRABLE
Low,DONB4RGP5K,2023-12-21,7316,2024-08-06,IN_PROGRESS
Low,KWUC5YLK0W,2024-03-06,9370,2025-04-22,NEW
Critical,JS54XMZAF7,2024-01-30,110,2024-08-06,FINISHED
Low,6QCTT6ULM3,2024-02-04,439,2024-09-25,NEW
Low,AL9HYXVZNP,2023-11-21,7067,2024-09-24,NEW
High,MIAYD68G8W,2024-02-06,8330,2024-08-06,UNREPAIRABLE
Critical,NPAL3IRYTM,2024-02-15,689,2024-12-16,FINISHED
Mild,HFAEULJYXF,2024-03-02,6893,2025-02-20,FINISHED
Mild,1VN6SNKF12,2024-01-25,1437,2025-03-21,UNREPAIRABLE
Low,IMJBSKBLVQ,2023-10-22,8566,2025-03-17,NEW
High,VOF32ZUPK9,2024-03-09,414,2024-06-28,FINISHED
Mild,2GJJQ0680G,2023-11-23,9353,2024-12-06,IN_PROGRESS
High,9SL6BU7GCT,2023-12-12,575,2024-09-06,UNREPAIRABLE
Mild,ZN4JJP6ZBA,2023-11-09,9678,2024-08-27,IN_PROGRESS
High,QIKWWXV9BL,2024-02-07,8042,2024-10-06,IN_PROGRESS
Mild,WYQTYSEH0Q,2023-11-29,5550,2025-01-11,NEW
Low,Z1XJTMAJT5,2023-10-20,4529,2025-01-24,NEW
High,CKAZM56VIS,2024-04-08,9896,2025-04-02,IN_PROGRESS
High,WDFHI9A39Z,2024-01-03,9040,2024-08-07,UNREPAIRABLE
Mild,PBU90UG9E8,2024-03-31,5044,2024-05-13,NEW
Critical,AEP892E56L,2023-12-08,7410,2025-03-16,IN_PROGRESS
High,ZPGNY6FPN9,2023-11-15,5870,2024-07-28,FINISHED
High,J1SV9D9BWK,2024-01-02,5811,2025-01-04,IN_PROGRESS
Critical,0RIP859748,2024-01-13,9801,2025-01-08,UNREPAIRABLE
Low,ZBS8XCUHOV,2023-11-27,1547,2025-03-24,NEW
High,H7EBPU7O7B,2024-02-14,6399,2024-12-20,UNREPAIRABLE
High,BHCQWVIMR7,2024-04-22,8992,2024-12-04,FINISHED
Critical,MIRXQXEAZX,2024-03-15,6121,2024-12-27,NEW
High,KDM6UQD83G,2024-01-15,1839,2024-05-25,IN_PROGRESS
Critical,V7JZ1ORDS9,2024-04-18,4951,2024-07-10,IN_PROGRESS
Low,6W2M0ZZQR4,2023-10-29,9182,2024-08-17,IN_PROGRESS
Mild,WI4OBP2WTN,2024-01-12,3905,2025-03-03,IN_PROGRESS
Critical,6OXJ4AGK8V,2023-11-13,3682,2024-08-18,IN_PROGRESS
Critical,AOP2T5TWAO,2023-12-12,3302,2024-05-14,UNREPAIRABLE
Mild,A6FSGKER40,2024-03-13,9253,2025-02-10,FINISHED
Mild,M32CKP009L,2024-03-12,9247,2024-08-31,NEW
Low,QY41UO16KQ,2024-02-09,9719,2024-10-21,NEW
High,7JCL5OZ5SL,2023-10-19,3600,2025-04-22,UNREPAIRABLE
Low,1MDRR9SXO0,2024-03-15,425,2024-08-28,NEW
Mild,PBJFODZE46,2024-02-06,386,2024-10-30,IN_PROGRESS
Low,CJXRBNLWPS,2024-03-26,2527,2024-08-06,NEW
Critical,JWTMGK3PKQ,2024-02-28,2426,2024-06-15,NEW
Critical,PWYIMZ9672,2024-01-28,2916,2025-04-23,NEW
Mild,TYVCKRPTVF,2024-03-16,8566,2024-12-05,UNREPAIRABLE
High,BID7SRRV5S,2023-11-01,6055,2025-01-31,NEW
High,NQ31WNCX35,2024-04-22,9521,2024-06-27,IN_PROGRESS
High,IU8JVJMDGQ,2023-11-02,7208,2025-03-11,IN_PROGRESS
High,L9H9VIYT7N,2024-02-19,3257,2025-04-08,UNREPAIRABLE
Low,5UTLTVXY5Q,2024-02-24,850,2024-08-05,UNREPAIRABLE
Mild,4BM6HIQ019,2024-02-07,4686,2025-02-18,NEW
Mild,CRI26DNMHP,2023-12-23,2553,2024-04-30,UNREPAIRABLE
Critical,Z3ZF4G71AD,2024-02-29,9784,2024-07-13,UNREPAIRABLE
Critical,FRCV3NDRGU,2023-10-16,9099,2024-09-23,FINISHED
Mild,5IW69RTD40,2023-10-20,9418,2024-09-01,UNREPAIRABLE
Low,BUCOX74K2A,2024-04-10,2804,2024-12-22,UNREPAIRABLE
High,TF29JZDEWS,2024-02-21,8980,2024-07-25,FINISHED
High,6OG45QAGN7,2024-03-04,1545,2024-07-03,UNREPAIRABLE
Critical,MNO2ATU99R,2023-10-13,1831,2024-05-28,IN_PROGRESS
Mild,5ATXIT3MQZ,2023-11-20,8493,2025-04-03,IN_PROGRESS
High,5DQG7RO3NH,2024-02-16,6050,2025-01-28,NEW
High,95Q8VVV6NL,2024-04-09,1048,2024-10-22,UNREPAIRABLE
High,B1NJ3A30BJ,2023-11-11,5006,2025-02-07,UNREPAIRABLE
High,80QBWGR3XZ,2024-03-04,7524,2025-01-05,IN_PROGRESS
Low,LN69BZWZWA,2023-12-31,6549,2024-04-30,UNREPAIRABLE
Low,OKFBN1RFYP,2023-11-06,6014,2024-05-02,NEW
Low,XX7NI1O5WM,2023-10-20,1951,2024-11-01,IN_PROGRESS
